Year,Threat_Category,Layer,Severity,Incident_Count,Mitigation_Effectiveness,Reported_Cases
2019,Data Breach,PaaS,Medium,73,5.7,83
2021,Zero-Day Vulnerability,PaaS,Low,39,7.9,43
2022,Data Breach,SaaS,High,78,3.2,38
2022,API Abuse,PaaS,Medium,39,6.8,16
2020,Zero-Day Vulnerability,IaaS,Medium,42,6.9,41
2024,DDoS Attack,IaaS,Low,6,4.2,3
2020,Malware Injection,IaaS,High,58,3.5,59
2023,Malware Injection,IaaS,Low,16,9.2,18
2021,Data Breach,PaaS,Low,44,6.7,56
2023,Insider Threat,IaaS,Medium,32,6.3,33
2021,Data Breach,IaaS,Low,18,5.6,19
2020,Insider Threat,PaaS,Low,8,9.2,7
2022,Insider Threat,PaaS,High,52,4.7,39
2024,Supply Chain Compromise,IaaS,Low,49,7.4,38
2023,Insider Threat,PaaS,Low,1,5.9,0
2022,Container Escape,IaaS,Low,49,10.0,44
2021,Misconfiguration,PaaS,Medium,46,5.8,50
2021,Misconfiguration,PaaS,Medium,39,9.9,41
2022,Malware Injection,SaaS,Medium,20,5.2,13
2022,Malware Injection,PaaS,Low,34,8.2,15
2019,Zero-Day Vulnerability,IaaS,Low,1,8.6,0
2021,Malware Injection,SaaS,Low,2,8.5,1
2022,Container Escape,SaaS,High,59,4.8,60
2019,Phishing,IaaS,Medium,49,5.4,42
2021,Data Breach,IaaS,High,52,6.9,60
2023,API Abuse,IaaS,Low,41,6.5,44
2019,Supply Chain Compromise,PaaS,Low,21,5.8,9
2022,Zero-Day Vulnerability,IaaS,Medium,6,7.5,2
2020,Zero-Day Vulnerability,SaaS,Medium,45,5.2,48
2022,DDoS Attack,IaaS,Medium,56,6.6,46
2022,Phishing,SaaS,Medium,21,5.0,24
2021,Container Escape,PaaS,Medium,48,4.0,58
2022,Insider Threat,IaaS,Low,12,8.3,14
2023,Supply Chain Compromise,IaaS,Medium,54,5.4,55
2022,Insider Threat,SaaS,Medium,30,7.6,36
2022,Phishing,SaaS,Medium,47,3.7,49
2023,Supply Chain Compromise,PaaS,Medium,27,8.2,17
2023,Phishing,PaaS,Low,1,4.7,1
2024,Supply Chain Compromise,SaaS,Medium,59,2.5,65
2022,DDoS Attack,PaaS,High,83,5.0,35
2019,Container Escape,IaaS,Low,4,7.6,4
2019,Malware Injection,PaaS,High,43,4.4,41
2020,Malware Injection,IaaS,Medium,43,4.4,32
2023,Malware Injection,PaaS,Low,43,3.6,50
2024,Zero-Day Vulnerability,PaaS,Low,26,6.8,14
2023,DDoS Attack,IaaS,Medium,86,6.7,57
2023,Supply Chain Compromise,IaaS,Medium,52,2.6,63
2020,Supply Chain Compromise,IaaS,Low,40,5.5,16
2020,Supply Chain Compromise,PaaS,Low,1,6.7,1
2022,Misconfiguration,IaaS,High,25,1.0,30
2020,Misconfiguration,PaaS,Medium,22,6.0,13
2020,Container Escape,IaaS,High,77,4.7,85
2022,Phishing,PaaS,Medium,25,7.6,28
2023,API Abuse,SaaS,Low,41,8.4,40
2020,API Abuse,PaaS,Low,1,8.6,0
2020,DDoS Attack,IaaS,Low,26,5.8,17
2019,DDoS Attack,IaaS,Low,12,8.8,7
2024,Container Escape,IaaS,Low,42,7.2,49
2019,DDoS Attack,PaaS,Medium,62,2.8,68
2021,Malware Injection,IaaS,Low,1,3.8,1
2021,Zero-Day Vulnerability,IaaS,High,49,1.9,50
2020,Data Breach,IaaS,Low,32,7.6,18
2023,DDoS Attack,IaaS,Medium,71,7.2,66
2023,Malware Injection,IaaS,High,64,7.2,70
2024,Malware Injection,IaaS,High,91,2.2,117
2019,Container Escape,SaaS,Low,37,8.2,22
2022,Supply Chain Compromise,IaaS,Low,1,7.7,0
2023,Data Breach,PaaS,Medium,74,8.4,88
2019,Misconfiguration,IaaS,Low,22,5.6,18
2019,API Abuse,IaaS,Low,31,9.9,15
2022,Malware Injection,SaaS,Medium,32,3.7,14
2021,Misconfiguration,IaaS,Medium,32,2.5,29
2019,Zero-Day Vulnerability,SaaS,Low,10,5.9,7
2023,Insider Threat,PaaS,Medium,12,5.3,9
2024,Misconfiguration,IaaS,Medium,25,5.9,12
2023,Malware Injection,IaaS,Medium,14,6.0,7
2023,Data Breach,SaaS,High,31,1.9,32
2022,Malware Injection,IaaS,Medium,1,7.6,1
2024,Misconfiguration,IaaS,High,38,2.6,18
2019,Zero-Day Vulnerability,PaaS,Low,30,10.0,31
2024,Malware Injection,IaaS,Low,30,10.0,23
2019,Insider Threat,SaaS,Medium,35,7.0,26
2023,Data Breach,IaaS,Medium,61,2.2,37
2020,DDoS Attack,SaaS,High,84,2.8,47
2021,Misconfiguration,PaaS,Low,1,7.6,1
2020,Insider Threat,PaaS,Low,11,7.2,11
2020,Malware Injection,SaaS,High,33,2.0,15
2021,Data Breach,IaaS,Medium,19,1.2,18
2021,Misconfiguration,IaaS,Low,33,6.7,30
2022,Phishing,IaaS,Low,16,7.8,17
2019,Zero-Day Vulnerability,SaaS,Low,7,6.9,4
2020,Malware Injection,IaaS,Low,3,8.0,3
2019,Malware Injection,SaaS,Low,39,8.0,24
2020,Data Breach,SaaS,High,67,3.0,56
2021,Misconfiguration,PaaS,Low,15,7.3,18
2019,Supply Chain Compromise,SaaS,Low,9,8.1,5
2024,DDoS Attack,IaaS,High,78,5.6,63
2024,Supply Chain Compromise,PaaS,Low,36,2.8,38
2021,Supply Chain Compromise,IaaS,High,57,1.9,40
2019,Phishing,PaaS,Medium,64,6.2,78
2022,Supply Chain Compromise,PaaS,Low,25,5.2,11
2021,Supply Chain Compromise,IaaS,Low,34,7.0,41
2022,Container Escape,PaaS,Medium,24,4.8,19
2022,API Abuse,IaaS,Low,21,8.3,9
2024,Supply Chain Compromise,SaaS,Medium,44,6.5,43
2020,Container Escape,SaaS,Low,28,9.2,25
2019,Phishing,PaaS,High,53,5.5,37
2023,Supply Chain Compromise,PaaS,Low,42,7.7,41
2023,Insider Threat,IaaS,Low,5,9.4,5
2023,Zero-Day Vulnerability,PaaS,Low,23,6.8,15
2020,Insider Threat,SaaS,Low,1,8.1,1
2022,Insider Threat,IaaS,Medium,56,7.3,42
2021,Insider Threat,IaaS,Low,32,7.2,25
2020,API Abuse,SaaS,Low,27,8.7,26
2023,Container Escape,IaaS,High,52,5.0,66
2019,Phishing,SaaS,Medium,10,9.7,6
2022,Insider Threat,IaaS,Low,12,7.9,7
2022,Malware Injection,SaaS,Low,1,7.1,1
2019,Malware Injection,IaaS,Medium,30,3.6,38
2020,Data Breach,IaaS,Low,19,10.0,24
2022,DDoS Attack,IaaS,Medium,51,5.6,50
2021,Data Breach,SaaS,Low,19,6.8,16
2020,Insider Threat,PaaS,High,83,6.2,87
2019,API Abuse,IaaS,Medium,45,6.5,45
2023,Container Escape,SaaS,High,93,2.6,64
2020,Phishing,SaaS,Medium,36,5.1,42
2024,DDoS Attack,IaaS,Medium,58,3.8,23
2019,Supply Chain Compromise,SaaS,Low,61,6.8,33
2019,Data Breach,SaaS,High,57,3.5,27
2021,Container Escape,PaaS,Low,28,7.3,30
2023,Supply Chain Compromise,IaaS,Low,30,6.4,15
2023,DDoS Attack,IaaS,Low,33,8.7,42
2024,Data Breach,PaaS,Low,30,7.4,38
2024,Malware Injection,IaaS,Low,10,6.7,10
2019,Misconfiguration,PaaS,High,47,7.2,20
2024,Insider Threat,PaaS,Low,13,5.7,14
2021,Misconfiguration,IaaS,Low,1,7.8,0
2022,Insider Threat,IaaS,Low,9,5.1,8
2023,Data Breach,SaaS,Medium,45,7.2,20
2021,Zero-Day Vulnerability,PaaS,Low,56,5.8,27
2021,Zero-Day Vulnerability,PaaS,Low,18,7.0,12
2021,Container Escape,IaaS,Low,45,7.6,26
2023,Malware Injection,SaaS,Low,1,5.1,0
2021,Data Breach,SaaS,Medium,57,7.7,73
2021,DDoS Attack,PaaS,Low,40,6.3,45
2024,Data Breach,SaaS,Medium,55,5.6,50
2021,Data Breach,IaaS,Low,52,9.5,48
2022,Container Escape,PaaS,Low,22,7.3,27
2023,Container Escape,IaaS,Medium,35,8.1,34
2021,Misconfiguration,IaaS,Low,46,7.1,25
2022,Phishing,IaaS,Low,14,6.5,8
2022,Malware Injection,SaaS,Medium,62,6.5,77
2024,Container Escape,SaaS,Medium,39,5.5,39
2024,Misconfiguration,IaaS,Medium,1,1.8,0
2021,DDoS Attack,SaaS,Low,66,7.2,59
2019,Zero-Day Vulnerability,IaaS,Medium,54,1.9,68
2019,API Abuse,SaaS,Low,15,5.8,11
2019,Data Breach,SaaS,Medium,5,5.1,4
2024,Supply Chain Compromise,IaaS,Low,44,5.4,50
2019,Zero-Day Vulnerability,IaaS,High,76,3.6,62
2021,Insider Threat,IaaS,Medium,6,5.5,2
2022,Supply Chain Compromise,PaaS,Low,43,7.0,30
2020,DDoS Attack,SaaS,Low,63,7.8,29
2022,Insider Threat,SaaS,Medium,42,4.1,18
2020,Misconfiguration,SaaS,High,41,4.6,27
2022,API Abuse,IaaS,High,61,1.7,70
2024,Data Breach,PaaS,High,65,3.3,52
2024,DDoS Attack,SaaS,Low,36,6.6,45
2020,DDoS Attack,SaaS,Medium,64,2.9,74
2021,API Abuse,IaaS,Medium,38,6.4,45
2020,API Abuse,PaaS,Medium,32,5.0,23
2020,Container Escape,IaaS,Low,13,7.7,16
2024,Insider Threat,IaaS,Low,48,4.4,28
2021,Misconfiguration,SaaS,High,49,6.1,26
2024,DDoS Attack,IaaS,Medium,61,5.9,58
2023,Zero-Day Vulnerability,SaaS,Medium,72,2.8,51
2019,DDoS Attack,IaaS,Low,30,8.7,32
2019,Misconfiguration,IaaS,Low,1,7.5,0
2023,Zero-Day Vulnerability,PaaS,Low,13,6.8,6
2022,Supply Chain Compromise,PaaS,Medium,1,4.8,0
2022,Supply Chain Compromise,PaaS,Low,55,5.1,53
2022,DDoS Attack,SaaS,Medium,39,5.0,17
2023,Malware Injection,PaaS,Medium,32,8.0,37
2023,Insider Threat,IaaS,Medium,21,7.1,15
2022,Supply Chain Compromise,SaaS,Medium,25,3.3,14
2022,Phishing,IaaS,Low,1,7.2,1
2023,Zero-Day Vulnerability,IaaS,High,100,3.3,66
2020,Misconfiguration,SaaS,Medium,20,6.8,14
2023,Supply Chain Compromise,IaaS,Low,29,6.3,25
2023,Phishing,IaaS,Medium,14,6.0,15
2020,Supply Chain Compromise,SaaS,Low,35,9.2,28
2021,Container Escape,IaaS,Medium,52,8.9,26
2019,Supply Chain Compromise,IaaS,Low,33,4.7,40
2021,Supply Chain Compromise,PaaS,High,20,1.7,24
2023,API Abuse,SaaS,Medium,31,7.5,25
2021,Supply Chain Compromise,PaaS,Medium,29,7.2,14
2023,Zero-Day Vulnerability,SaaS,High,97,2.3,116
2019,Container Escape,PaaS,Low,25,9.2,17
2024,Misconfiguration,IaaS,Low,1,4.8,1
2023,Supply Chain Compromise,SaaS,Medium,63,4.3,71
2024,Zero-Day Vulnerability,SaaS,Low,9,6.0,5
2024,Zero-Day Vulnerability,SaaS,Low,1,8.3,0
2023,Phishing,SaaS,Low,1,5.0,0
2022,Misconfiguration,SaaS,Low,12,9.0,13
2023,DDoS Attack,IaaS,Medium,66,1.5,38
2022,Supply Chain Compromise,PaaS,High,56,3.7,71
2019,Supply Chain Compromise,PaaS,High,50,6.8,53
2024,DDoS Attack,PaaS,Low,54,6.7,35
2020,Phishing,SaaS,High,50,4.5,31
2020,Data Breach,SaaS,Low,1,10.0,0
2020,DDoS Attack,IaaS,Medium,71,6.8,87
2022,Malware Injection,SaaS,Low,34,7.8,22
2019,Insider Threat,SaaS,Low,34,7.6,35
2024,Supply Chain Compromise,SaaS,Medium,59,3.0,63
2022,Zero-Day Vulnerability,IaaS,Low,27,7.3,24
2024,Container Escape,SaaS,High,79,6.3,79
2020,Misconfiguration,IaaS,Medium,48,2.5,58
2019,API Abuse,IaaS,Medium,56,8.6,27
2022,Supply Chain Compromise,SaaS,Low,28,6.2,35
2021,Malware Injection,IaaS,Medium,52,2.8,51
2024,Malware Injection,IaaS,Low,5,5.7,4
2021,DDoS Attack,IaaS,High,67,4.4,83
2024,DDoS Attack,PaaS,Low,20,5.1,11
2022,Misconfiguration,SaaS,Low,18,4.6,22
2021,Phishing,PaaS,Medium,69,5.9,55
2019,Insider Threat,IaaS,High,14,3.0,12
2019,Data Breach,SaaS,High,60,2.9,33
2020,Zero-Day Vulnerability,IaaS,Low,64,6.2,29
2019,Data Breach,SaaS,Medium,50,5.6,59
2020,Insider Threat,PaaS,Medium,51,4.6,41
2019,Data Breach,SaaS,Low,56,6.6,64
2023,Container Escape,PaaS,High,75,3.0,50
2023,Zero-Day Vulnerability,PaaS,High,59,2.8,38
2021,Misconfiguration,PaaS,Medium,36,3.7,36
2022,Insider Threat,PaaS,Low,12,5.6,5
2024,Zero-Day Vulnerability,PaaS,Medium,51,4.7,42
2022,Supply Chain Compromise,PaaS,High,73,1.6,68
2024,Phishing,IaaS,Medium,17,1.4,14
2022,Supply Chain Compromise,SaaS,Medium,68,6.0,33
2022,DDoS Attack,PaaS,Medium,44,2.4,40
2024,Data Breach,SaaS,Low,37,7.1,36
2020,Supply Chain Compromise,SaaS,Low,29,7.9,31
2021,Malware Injection,SaaS,Low,14,7.6,8
2022,Misconfiguration,SaaS,High,50,4.9,58
2021,API Abuse,IaaS,Medium,47,4.0,37
2020,API Abuse,SaaS,High,56,5.3,38
2022,Misconfiguration,PaaS,Medium,30,5.9,32
2023,Container Escape,IaaS,Low,3,8.5,2
2019,Zero-Day Vulnerability,SaaS,Medium,61,4.8,34
2020,Insider Threat,IaaS,Low,2,7.9,0
2019,Malware Injection,IaaS,Medium,15,6.6,6
2021,Malware Injection,SaaS,Low,27,6.9,24
2023,Data Breach,IaaS,Medium,28,4.5,35
2024,Supply Chain Compromise,IaaS,Medium,20,7.9,8
2019,Container Escape,PaaS,Low,34,4.2,32
2022,Phishing,SaaS,Medium,20,7.2,18
2023,Zero-Day Vulnerability,IaaS,Low,38,4.9,21
2019,Malware Injection,SaaS,Low,12,8.1,14
2022,API Abuse,IaaS,Medium,42,4.7,53
2020,Misconfiguration,IaaS,High,1,6.1,0
2022,Misconfiguration,IaaS,Medium,53,3.6,61
2022,Supply Chain Compromise,PaaS,Low,11,6.3,8
2024,Data Breach,IaaS,Medium,73,4.0,43
2024,Malware Injection,IaaS,High,40,2.8,49
2019,Zero-Day Vulnerability,PaaS,High,37,3.3,37
2024,Container Escape,IaaS,Medium,54,5.6,37
2019,Malware Injection,PaaS,High,33,5.6,32
2020,Data Breach,SaaS,Medium,45,5.0,45
2019,DDoS Attack,IaaS,Low,44,6.6,38
2020,Zero-Day Vulnerability,IaaS,Medium,63,3.2,31
2021,DDoS Attack,IaaS,Medium,39,5.8,28
2024,Misconfiguration,PaaS,Low,1,7.5,0
2023,Data Breach,SaaS,High,87,4.4,94
2024,Zero-Day Vulnerability,SaaS,Medium,89,4.6,38
2021,Supply Chain Compromise,PaaS,Low,50,5.1,20
2019,Supply Chain Compromise,SaaS,Low,61,5.3,50
2019,Data Breach,IaaS,High,69,4.3,33
2022,Supply Chain Compromise,SaaS,Medium,52,4.2,44
2023,Malware Injection,PaaS,Low,18,3.3,15
2024,API Abuse,IaaS,Low,17,6.6,9
2023,Insider Threat,IaaS,Medium,51,6.0,36
2020,Phishing,PaaS,Low,26,5.7,15
2019,API Abuse,IaaS,Low,35,5.4,21
2023,Phishing,IaaS,High,22,3.1,22
2021,Phishing,SaaS,Low,21,7.6,18
2023,Data Breach,PaaS,Low,26,8.0,11
2024,Data Breach,IaaS,Low,6,7.3,4
2021,Container Escape,IaaS,Low,36,7.8,20
2020,Phishing,SaaS,High,46,3.8,31
2019,Phishing,SaaS,High,69,4.2,75
2023,Malware Injection,IaaS,High,82,1.0,89
2019,DDoS Attack,PaaS,Low,20,6.8,18
2022,Malware Injection,IaaS,Low,23,7.8,18
2021,Zero-Day Vulnerability,IaaS,Low,31,7.3,37
2024,Supply Chain Compromise,IaaS,Medium,51,4.1,43
2019,Data Breach,IaaS,Medium,69,6.2,43
2023,API Abuse,SaaS,High,48,2.6,41
2022,Data Breach,SaaS,Medium,44,5.3,22
2021,Misconfiguration,PaaS,Low,31,5.8,14
2022,Misconfiguration,IaaS,Medium,15,4.1,18
2020,Data Breach,IaaS,Medium,36,6.7,19
2023,Data Breach,SaaS,Medium,61,7.7,75
2024,DDoS Attack,IaaS,High,58,2.7,41
2023,Supply Chain Compromise,PaaS,Low,30,7.7,31
2022,DDoS Attack,IaaS,Medium,54,9.1,26
2023,API Abuse,PaaS,High,46,3.8,33
2024,Misconfiguration,IaaS,Low,15,5.7,11
2020,Data Breach,IaaS,Medium,35,5.1,30
2024,Phishing,IaaS,Medium,29,7.3,35
2024,Phishing,IaaS,Low,32,8.4,26
2019,DDoS Attack,PaaS,Low,28,7.2,29
2024,Malware Injection,PaaS,Medium,20,5.6,23
2019,DDoS Attack,PaaS,Low,34,10.0,26
2019,Data Breach,IaaS,Medium,31,3.9,37
2023,Phishing,IaaS,Low,1,9.0,0
2020,Container Escape,IaaS,Low,16,4.8,6
2024,Phishing,SaaS,Medium,1,6.6,0
2019,Container Escape,PaaS,Low,39,8.8,50
2023,DDoS Attack,IaaS,Low,44,7.9,24
2019,Phishing,PaaS,High,35,4.7,26
2023,DDoS Attack,IaaS,High,103,1.7,94
2021,Supply Chain Compromise,PaaS,Low,34,8.9,26
2019,Insider Threat,SaaS,Low,1,8.7,0
2023,DDoS Attack,PaaS,Low,46,8.9,54
2023,Malware Injection,IaaS,Low,1,6.5,0
2021,Misconfiguration,PaaS,Medium,35,8.8,45
2021,Data Breach,SaaS,Low,31,9.3,30
2024,Insider Threat,IaaS,Low,10,10.0,8
2021,Container Escape,IaaS,Low,39,3.6,46
2020,Insider Threat,IaaS,Medium,7,4.0,3
2022,DDoS Attack,IaaS,Medium,65,10.0,69
2019,DDoS Attack,PaaS,Medium,46,2.0,43
2020,API Abuse,IaaS,Low,28,9.5,26
2020,Phishing,SaaS,High,15,1.9,13
2023,Zero-Day Vulnerability,IaaS,High,52,6.8,40
2020,Misconfiguration,PaaS,Low,8,8.9,3
2024,API Abuse,IaaS,Low,43,7.0,52
2024,Phishing,IaaS,Medium,33,5.6,37
2024,Phishing,PaaS,Low,3,8.2,2
2020,Insider Threat,PaaS,Medium,47,2.2,27
2023,Misconfiguration,PaaS,Medium,31,4.7,28
2023,Misconfiguration,PaaS,Medium,22,6.0,21
2024,Misconfiguration,PaaS,Low,8,7.6,9
2022,Insider Threat,IaaS,Medium,9,2.6,10
2021,Misconfiguration,PaaS,Low,1,8.1,1
2021,Misconfiguration,IaaS,Low,35,7.4,25
2024,API Abuse,PaaS,Low,33,4.9,37
2024,Container Escape,SaaS,High,74,2.2,32
2024,API Abuse,SaaS,Medium,48,3.8,54
2023,Supply Chain Compromise,IaaS,Medium,64,6.8,41
2024,DDoS Attack,SaaS,High,71,3.3,57
2023,Supply Chain Compromise,IaaS,Low,6,5.3,3
2019,Zero-Day Vulnerability,PaaS,Low,53,6.5,38
2023,Insider Threat,SaaS,Low,25,7.7,28
2020,Insider Threat,PaaS,Medium,29,6.8,36
2024,Misconfiguration,SaaS,Low,12,7.0,10
2019,Supply Chain Compromise,IaaS,Low,29,7.5,36
2021,Data Breach,IaaS,Low,69,8.8,67
2023,API Abuse,IaaS,Medium,39,6.4,31
2024,DDoS Attack,PaaS,Medium,56,8.1,52
2020,Container Escape,IaaS,Low,44,7.5,18
2022,Misconfiguration,SaaS,High,24,5.0,24
2023,Malware Injection,IaaS,High,22,3.6,10
2023,Data Breach,IaaS,Low,20,8.8,16
2019,Supply Chain Compromise,SaaS,High,88,3.7,107
2021,DDoS Attack,PaaS,High,77,4.9,77
2022,Supply Chain Compromise,SaaS,Low,66,6.7,40
2023,Insider Threat,IaaS,High,17,3.2,18
2019,Zero-Day Vulnerability,PaaS,Low,56,9.4,67
2021,Malware Injection,SaaS,Low,1,8.9,0
2023,Misconfiguration,IaaS,Low,26,10.0,22
2023,Malware Injection,PaaS,Medium,17,4.1,10
2020,Malware Injection,IaaS,Medium,41,5.4,48
2020,Zero-Day Vulnerability,SaaS,Medium,61,6.0,70
2019,API Abuse,PaaS,High,40,1.1,49
2020,Container Escape,PaaS,Low,55,6.4,41
2024,Container Escape,IaaS,Medium,46,3.8,21
2023,Misconfiguration,PaaS,Medium,27,4.5,22
2020,Misconfiguration,PaaS,Medium,64,4.2,45
2022,Malware Injection,SaaS,Low,12,6.4,12
2021,Zero-Day Vulnerability,PaaS,Low,12,7.3,8
2019,Malware Injection,SaaS,High,76,5.2,32
2024,Container Escape,SaaS,Medium,48,6.5,54
2022,Phishing,PaaS,High,45,7.0,44
2023,API Abuse,IaaS,Low,38,7.4,22
2020,Misconfiguration,SaaS,Low,11,5.8,12
2020,Container Escape,PaaS,Low,22,5.1,11
2019,Container Escape,SaaS,Low,42,6.2,29
2022,Zero-Day Vulnerability,PaaS,Low,58,7.7,53
2024,DDoS Attack,SaaS,Low,47,6.9,51
2020,Zero-Day Vulnerability,IaaS,Medium,73,5.1,76
2022,Malware Injection,IaaS,High,80,3.3,82
2022,Insider Threat,PaaS,Medium,50,4.0,34
2019,DDoS Attack,SaaS,Low,37,6.9,47
2020,Data Breach,SaaS,High,68,5.3,48
2022,Insider Threat,PaaS,Low,33,7.4,16
2019,Insider Threat,IaaS,Low,4,7.5,3
2022,API Abuse,IaaS,High,33,1.7,42
2023,Malware Injection,PaaS,Medium,18,4.8,19
2021,API Abuse,PaaS,Low,1,8.2,0
2022,Container Escape,PaaS,Low,26,6.5,30
2020,Insider Threat,IaaS,Low,17,4.8,15
2020,Supply Chain Compromise,SaaS,Low,45,8.3,56
2024,API Abuse,PaaS,Medium,22,4.6,23
2019,Zero-Day Vulnerability,PaaS,Medium,60,7.1,58
2024,Insider Threat,IaaS,Low,6,8.0,4
2022,Supply Chain Compromise,IaaS,Low,49,8.0,22
2019,Phishing,IaaS,Low,6,6.3,4
2022,Phishing,SaaS,Medium,47,7.4,36
2023,Misconfiguration,IaaS,Low,32,6.8,24
2022,Misconfiguration,SaaS,Low,1,9.8,0
2021,Zero-Day Vulnerability,IaaS,Low,22,6.7,19
2022,DDoS Attack,IaaS,Low,43,8.4,38
2020,Zero-Day Vulnerability,IaaS,High,70,2.1,37
2024,API Abuse,PaaS,Medium,18,9.7,22
2021,Zero-Day Vulnerability,PaaS,Low,39,7.0,20
2021,API Abuse,IaaS,Medium,45,7.4,55
2021,Misconfiguration,PaaS,Low,29,6.3,23
2020,Data Breach,IaaS,High,55,4.4,71
2022,DDoS Attack,IaaS,Medium,23,4.0,23
2021,Misconfiguration,IaaS,Medium,44,3.4,39
2023,Malware Injection,PaaS,Medium,15,4.3,9
2022,DDoS Attack,SaaS,Low,15,6.4,9
2023,Supply Chain Compromise,IaaS,Medium,49,7.4,26
2019,Phishing,IaaS,High,40,3.4,21
2022,DDoS Attack,IaaS,High,58,2.8,28
2023,Misconfiguration,IaaS,Medium,24,6.9,21
2024,Data Breach,PaaS,Medium,70,5.6,59
2021,Malware Injection,PaaS,Medium,34,8.7,32
2023,Zero-Day Vulnerability,IaaS,Medium,31,8.6,14
2024,Misconfiguration,IaaS,Medium,22,4.4,14
2024,Misconfiguration,PaaS,Medium,21,5.0,26
2023,DDoS Attack,SaaS,Medium,18,1.0,8
2021,Phishing,PaaS,Low,15,9.1,9
2020,Malware Injection,SaaS,Medium,48,6.2,60
2020,DDoS Attack,IaaS,Low,1,6.7,0
2019,Misconfiguration,IaaS,Low,50,7.5,47
2022,Container Escape,SaaS,Low,1,7.2,1
2019,Phishing,PaaS,Low,14,8.7,10
2020,API Abuse,SaaS,Low,12,6.0,14
2023,Zero-Day Vulnerability,SaaS,Low,34,6.9,32
2024,Supply Chain Compromise,PaaS,Low,33,9.6,30
2023,Supply Chain Compromise,IaaS,High,61,8.3,46
2022,Data Breach,PaaS,Low,52,6.7,58
2022,Phishing,SaaS,High,19,3.2,18
2023,Zero-Day Vulnerability,IaaS,Low,22,6.7,23
2022,Container Escape,IaaS,Medium,56,7.3,66
2020,API Abuse,SaaS,High,62,6.7,29
2020,Container Escape,IaaS,Low,5,8.3,6
2023,Phishing,PaaS,Medium,41,3.4,23
